Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,73.045,73.598,72.59,73.213,2046485,0
2017-01-04,73.42,73.983,73.252,73.41,1973856,0
2017-01-05,73.223,73.479,72.847,73.075,1764531,0
2017-01-06,72.73,73.494,72.532,73.193,1635839,0
2017-01-09,72.996,73.094,72.097,72.146,1825783,0
2017-01-10,72.334,73.341,72.314,72.798,2380759,0
2017-01-11,72.986,73.302,72.64,72.986,1761246,0
2017-01-12,72.61,72.837,72.186,72.73,1125027,0
2017-01-13,72.957,73.39,72.847,72.937,1236115,0
2017-01-17,72.66,72.937,72.443,72.897,1196121,0
2017-01-18,73.045,73.864,72.966,73.559,1819232,0
2017-01-19,73.697,73.815,72.947,73.262,1298899,0
2017-01-20,73.41,73.993,73.41,73.578,1548404,0
2017-01-23,73.627,73.687,73.006,73.193,1248837,0
2017-01-24,73.282,73.697,73.015,73.509,1089554,0
2017-01-25,73.806,74.555,73.776,74.417,1792202,0
2017-01-26,74.447,74.871,74.24,74.832,1595632,0
2017-01-27,74.318,74.832,74.249,74.615,1292144,0
2017-01-30,74.516,74.693,74.156,74.634,1770904,0
2017-01-31,74.298,74.605,73.776,74.24,2068595,0
2017-02-01,74.595,74.99,74.032,74.269,2441138,0
2017-02-02,75.751,77.112,75.394,76.401,3933962,0
2017-02-03,76.915,76.993,76.292,76.48,2137864,0
2017-02-06,76.431,77.216,75.977,77.072,2379014,0
2017-02-07,77.486,77.665,77.062,77.112,1806535,0
2017-02-08,77.092,77.181,76.796,76.983,1516193,0
2017-02-09,77.082,77.374,76.727,77.339,1937663,0
2017-02-10,77.536,78.287,77.122,77.863,1658823,0
2017-02-13,77.931,78.612,77.872,78.582,1446138,0
2017-02-14,78.691,78.79,78.08,78.77,1821528,0
2017-02-15,78.968,79.678,78.562,79.668,1844041,0
2017-02-16,79.58,79.777,79.363,79.757,1802284,0
2017-02-17,79.431,79.441,79.046,79.403,1945429,0
2017-02-21,79.52,79.757,79.273,79.58,2468598,0
2017-02-22,79.096,79.737,79.046,79.54,2470426,0
2017-02-23,79.363,79.856,79.273,79.51,3232112,0
2017-02-24,79.51,80.234,79.223,80.234,1989961,0
2017-02-27,80.264,80.83,80.165,80.66,2120908,0
2017-02-28,80.612,81.603,80.324,81.474,2571190,0
2017-03-01,81.831,82.138,81.414,82,2744224,0
2017-03-02,82.198,82.356,81.058,81.068,2650338,0
2017-03-03,81.146,81.316,80.72,81.176,2351102,0
2017-03-06,80.81,81.068,80.462,80.66,1670985,0
2017-03-07,80.642,81.018,80.462,80.78,1635493,0
2017-03-08,81.186,81.287,80.264,80.452,1675345,0
2017-03-09,80.642,80.948,80.394,80.888,1723156,0
2017-03-10,81.136,81.419,80.888,81.365,1573771,0
2017-03-13,81.186,81.444,81.038,81.414,1267286,0
2017-03-14,81.365,81.618,81.146,81.494,1449246,0
2017-03-15,81.355,82.059,81.355,81.93,1430770,0
2017-03-16,81.87,82.307,81.772,82.198,1798606,0
2017-03-17,82.208,82.396,81.91,82.158,2335777,0
2017-03-20,82.158,82.366,81.613,81.682,1336144,0
2017-03-21,81.772,82.01,80.908,81.008,2197905,0
2017-03-22,80.908,81.136,80.65,80.7,1683834,0
2017-03-23,80.82,81.236,80.482,80.582,1493141,0
2017-03-24,80.592,80.83,79.956,80.314,1380411,0
2017-03-27,79.699,80.642,79.402,80.412,1440190,0
2017-03-28,80.136,81.411,80.056,81.206,1229272,0
2017-03-29,81.256,81.394,80.612,80.71,1027841,0
2017-03-30,80.622,81.146,80.482,80.958,1169077,0
2017-03-31,80.77,81.107,80.522,80.81,1561161,0
2017-04-03,80.86,81.068,80.403,80.642,1805183,0
2017-04-04,80.79,81.117,80.72,80.948,1686380,0
2017-04-05,81.127,81.484,80.607,80.74,1588413,0
2017-04-06,80.77,80.918,80.374,80.76,1627791,0
2017-04-07,80.68,80.81,80.274,80.432,1239064,0
2017-04-10,80.334,80.988,80.324,80.68,1272247,0
2017-04-11,80.462,80.612,80.006,80.492,1574285,0
2017-04-12,79.908,80.442,79.431,80.294,2081168,0
2017-04-13,80.224,80.582,79.908,79.908,1251796,0
2017-04-17,80.126,80.948,79.937,80.82,1660508,0
2017-04-18,80.116,80.432,79.451,79.64,2507103,0
2017-04-19,79.62,79.917,78.926,79.084,2302485,0
2017-04-20,78.935,79.738,78.43,79.481,2173917,0
2017-04-21,79.422,79.52,78.876,79.064,1793804,0
2017-04-24,80.184,80.304,79.699,80.224,1934071,0
2017-04-25,80.076,80.7,80.076,80.542,1711489,0
2017-04-26,80.472,81.821,80.274,81.117,2904956,0
2017-04-27,81.146,81.544,80.898,81.296,1173053,0
2017-04-28,81.156,81.256,80.582,80.612,1067521,0
2017-05-01,80.81,81.166,80.507,80.82,1353232,0
2017-05-02,80.77,81.196,80.76,81.146,1968062,0
2017-05-03,82.773,84.291,82.773,84.221,4056793,0
2017-05-04,84.399,85.311,84.399,84.855,2469373,0
2017-05-05,85.015,85.153,84.529,84.737,1661358,0
2017-05-08,84.747,84.777,83.923,84.062,1975536,0
2017-05-09,84.191,84.271,83.383,83.467,1813411,0
2017-05-10,83.507,83.923,83.368,83.586,1725291,0
2017-05-11,83.269,83.537,82.495,83.209,2979539,0
2017-05-12,83.11,83.893,82.833,83.427,1866886,0
2017-05-15,83.358,83.943,83.358,83.824,1201101,0
2017-05-16,83.785,84.072,83.497,83.626,1572774,0
2017-05-17,82.932,84.003,82.416,83.655,2273878,0
2017-05-18,83.626,84.587,82.902,84.013,2192196,0
2017-05-19,84.072,84.092,83.358,83.427,2708431,0
2017-05-22,83.874,84.171,83.547,84.082,2103026,0
2017-05-23,83.983,84.787,83.844,84.687,1299911,0
2017-05-24,84.835,85.173,84.687,85.093,959561,0
2017-05-25,85.233,85.664,85.103,85.559,1160359,0
2017-05-26,85.321,85.907,85.243,85.777,1092653,0
2017-05-30,85.401,85.699,85.272,85.281,1143849,0
2017-05-31,85.431,85.679,85.213,85.619,2639071,0
2017-06-01,85.669,86.585,85.543,86.585,1724944,0
2017-06-02,86.436,86.436,86.067,86.316,1160938,0
2017-06-05,86.316,86.585,86.127,86.256,977850,0
2017-06-06,85.948,86.167,85.43,85.47,1249059,0
2017-06-07,85.739,85.773,85.221,85.52,1428372,0
2017-06-08,85.52,86.336,85.49,86.207,1671117,0
2017-06-09,86.316,87.068,86.197,87.013,1143667,0
2017-06-12,87.013,87.74,86.974,87.561,2483660,0
2017-06-13,87.581,87.83,87.432,87.611,2577405,0
2017-06-14,87.571,88.527,87.472,88.457,1509068,0
2017-06-15,88.338,89.523,88.139,89.424,2173012,0
2017-06-16,90.001,90.37,89.184,89.453,2695163,0
2017-06-19,89.663,89.822,88.711,89.045,3277704,0
2017-06-20,89.045,89.294,88.816,88.896,1158331,0
2017-06-21,89.045,89.165,88.662,88.876,1653191,0
2017-06-22,88.647,88.866,87.85,87.95,1758599,0
2017-06-23,88.358,88.467,87.631,87.72,3986155,0
2017-06-26,87.96,88.418,87.81,88.059,1787835,0
2017-06-27,88.189,88.328,87.671,87.81,1839481,0
2017-06-28,88.318,88.597,88.009,88.218,1380870,0
2017-06-29,88.866,88.866,87.447,87.77,1654770,0
2017-06-30,88.079,88.428,87.76,88.079,1514200,0
