Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,800.62,811.435,796.89,808.01,1932677,0
2017-01-04,809.89,813.43,804.11,807.77,1486687,0
2017-01-05,807.5,813.74,805.92,813.02,1305062,0
2017-01-06,814.99,828.96,811.5,825.21,1975843,0
2017-01-09,826.37,830.43,821.62,827.18,1365344,0
2017-01-10,827.07,829.41,823.14,826.01,1111682,0
2017-01-11,826.62,829.9,821.47,829.86,1218093,0
2017-01-12,828.38,830.38,821.01,829.53,1265674,0
2017-01-13,831,834.65,829.52,830.93,1096855,0
2017-01-17,830,830.18,823.2,827.46,1201317,0
2017-01-18,829.8,829.81,824.08,829.02,962010,0
2017-01-19,829,833,823.96,824.37,1055419,0
2017-01-20,829.09,829.24,824.6,828.17,1226948,0
2017-01-23,831.61,845.543,828.7,844.43,2419971,0
2017-01-24,846.98,851.52,842.28,849.53,1647113,0
2017-01-25,853.55,858.794,849.74,858.45,1617190,0
2017-01-26,859.05,860.94,850.52,856.98,2611784,0
2017-01-27,859,867,841.9,845.03,3711874,0
2017-01-30,837.06,837.23,821.03,823.83,3431441,0
2017-01-31,819.5,823.07,813.4,820.19,1955733,0
2017-02-01,824,824,812.25,815.24,2198896,0
2017-02-02,815,824.56,812.051,818.26,1606867,0
2017-02-03,823.13,826.13,819.35,820.13,1528095,0
2017-02-06,820.92,822.39,814.29,821.62,1250713,0
2017-02-07,825.5,831.92,823.868,829.23,1624190,0
2017-02-08,830.53,834.25,825.11,829.88,1207180,0
2017-02-09,831.73,831.98,826.5,830.06,1163466,0
2017-02-10,832.95,837.15,830.51,834.85,1392663,0
2017-02-13,837.7,841.735,836.246,838.96,1224882,0
2017-02-14,839.77,842,835.83,840.09,980912,0
2017-02-15,838.81,841.773,836.22,837.32,1303154,0
2017-02-16,838.5,842.69,837.26,842.17,920812,0
2017-02-17,841.31,846.94,839.78,846.55,1406688,0
2017-02-21,847.99,852.2,846.55,849.27,1178472,0
2017-02-22,848,853.79,846.71,851.36,1193139,0
2017-02-23,851.08,852.62,842.5,851,1261077,0
2017-02-24,847.65,848.36,842.96,847.81,1308260,0
2017-02-27,844.95,850.67,843.01,849.67,981246,0
2017-02-28,847.35,848.83,841.442,844.93,1273713,0
2017-03-01,851.38,858,849.02,856.61,1653965,0
2017-03-02,856.31,856.49,848.72,849.85,1217226,0
2017-03-03,848.94,850.82,844.705,849.08,995060,0
2017-03-06,846.86,848.94,841.17,847.27,1011938,0
2017-03-07,847.26,853.33,845.52,851.15,977095,0
2017-03-08,853.12,856.93,851.25,853.64,995611,0
2017-03-09,853.69,860.71,852.67,857.84,1240728,0
2017-03-10,862.7,864.229,857.61,861.405,1296760,0
2017-03-13,865.68,867.13,860.82,864.58,1166605,0
2017-03-14,863.75,867.58,860.13,865.91,1061692,0
2017-03-15,867.94,869.88,861.295,868.39,1332885,0
2017-03-16,870.53,872.71,867.52,870,1104452,0
2017-03-17,873.68,874.42,868.37,872.37,1683901,0
2017-03-20,869.48,870.34,864.665,867.91,1542199,0
2017-03-21,870.06,873.47,847.687,850.14,2537978,0
2017-03-22,849.48,855.35,847,849.8,1366749,0
2017-03-23,841.39,841.69,833,839.65,3287669,0
2017-03-24,842,844,829.1,835.15,1976958,0
2017-03-27,828.09,841.38,824.3,838.51,1875590,0
2017-03-28,839.69,845.4,832.265,840.63,1476606,0
2017-03-29,842.75,851.585,841.38,849.87,1382043,0
2017-03-30,851.98,852,846.77,849.48,916623,0
2017-03-31,846.83,849.56,845.245,847.8,1320899,0
2017-04-03,848.75,859,847.53,856.75,1969402,0
2017-04-04,848,853,847.505,852.57,1329060,0
2017-04-05,854.71,860.59,847.52,848.91,1767000,0
2017-04-06,849.5,853.59,844,845.095,1314898,0
2017-04-07,845,845.88,837.3,842.1,1111610,0
2017-04-10,841.54,846.737,840.79,841.7,954094,0
2017-04-11,841.7,844.63,834.6,839.88,974343,0
2017-04-12,838.46,843.72,837.59,841.46,1015796,0
2017-04-13,841.04,843.73,837.85,840.18,1025516,0
2017-04-17,841.38,855.64,841.03,855.13,1004913,0
2017-04-18,852.54,857.39,851.25,853.99,927771,0
2017-04-19,857.385,860.2,853.528,856.51,1042384,0
2017-04-20,859.74,863.93,857.5,860.09,1062506,0
2017-04-21,860.62,862.44,857.73,858.95,1082611,0
2017-04-24,868.44,879.96,866.11,878.93,1692394,0
2017-04-25,882.26,892.25,879.28,888.84,2033438,0
2017-04-26,891.39,892.99,885.15,889.14,1321206,0
2017-04-27,890,893.377,887.18,891.44,2308819,0
2017-04-28,929,935.9,923.22,924.52,3845857,0
2017-05-01,924.15,935.82,920.8,932.82,2326641,0
2017-05-02,933.27,942.985,931,937.09,1749433,0
2017-05-03,936.05,950.2,935.21,948.45,1822217,0
2017-05-04,950.29,959.14,947.37,954.72,1938006,0
2017-05-05,956.72,958.44,948.099,950.28,1615548,0
2017-05-08,947.45,960.99,947.395,958.69,1875309,0
2017-05-09,961.33,962.2,954.4,956.69,1686772,0
2017-05-10,956.22,956.71,949.84,954.84,1145873,0
2017-05-11,951.29,957.99,948.61,955.89,1031014,0
